MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
Fat Man Little Boy,2013,"
Comedy            ",6.4,Not specified,"
Kevin Heffernan, 
Steve Lemme
","
Robert Barocci, 
Kevin Heffer",82,85,Not specified
Vir Das,2018,"
Comedy            ",7.1,"Losing It is a Vir Das Journey of Africa , India and America and religions. He touches many topics with audience laughing throughout.","
Vir Das
","
Marcus Raboy",1140,67,Not specified
Dennis Nilsen's the History of A Drowning Boy Project,Not specified,"
Documentary, Biography            ",Not specified,Not specified,"
Michael Harte
",Not specified,Not specified,Not specified,Not specified
Barbie,2017,"
Animation, Short            ",4.1,"Get ready to make a wish and have the most amazing birthday ever, with a little help from Barbie and a very special guest.","
Ritesh Rajan, 
America Young
",Not specified,8,1,Not specified
T no eres especial,Not specified,"
Comedy, Fantasy            ",Not specified,"16-year-old Amaia is forced to leave Barcelona behind to move to Salavarra, the Navarrese hometown of her grandmother, who was believed to be a witch - and whose powers Amaia might have inherited.","
Jordi Aguilar, 
Unai Arana, 
Dlia Brufau, 
Miriam Cabeza
",Not specified,Not specified,Not specified,Not specified
Jeff Foxworthy & Larry the Cable Guy,2016,"
Comedy            ",5.7,Comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.,"
Jeff Foxworthy, 
Nick Hoff, 
Larry the Cable Guy
","
Jay Karas",588,75,Not specified
Untitled Castlevania Project,Not specified,"
Animation, Action, Adventure            ",Not specified,Plot under wraps.,Not specified,Not specified,Not specified,Not specified,Not specified
The Hills Have Eyes for You,Not specified,"
Comedy, Horror, Romance            ",Not specified,Not specified,"
Eli Craig
",Not specified,Not specified,Not specified,Not specified
Forks Over Knives Presents,2011,"
Documentary            ",6.6,"Join Rip Esselstyn, former Texas firefighter and bestselling author, as he teaches the White and Wali families the basics of a whole-food, plant-based diet.","
Rip Esselstyn
","
John Corry",161,53,Not specified
She Did That,2019,"
Documentary            ",6.6,"An extension of Renae Bluitt's In Her Shoes blog, ""She Did That."" offers an intimate peek inside the lives of four Black women who continuously raise the glass ceiling for future ...                
","
Luvvie Ajayi, 
Fifi Bell, 
Renae Bluitt, 
Melissa Butler
","
Renae Bluitt, 
Sterling Milan",45,71,Not specified
The Mosque Next Door,2017,"
Reality-TV            ",7.6,"For many non-Muslim Australians, the mosque is a symbol of growing fears that Islam is antithetical to the Australian way of life, even dangerous. But many Australians have never stepped ...                
",Not specified,Not specified,36,Not specified,Not specified
Gad Elmaleh,2017,"
Comedy            ",6.9,Netflix stand-up special that the well known comedian performed in Montreal in English,"
Gad Elmaleh
","
Mario Rouleau",364,57,Not specified
Thiago Ventura,2020,"
Comedy            ",6.7,"Thiago Ventura jokes about living in a poor Brazilian community, talking about social issues and when actions speak more than words.","
Thiago Ventura, 
Patrick Maia
","
Joana Mazzucchelli, 
Fabio Ock",160,82,Not specified
Todd Glass,2018,"
Comedy            ",5,Try to keep up as comedian Todd Glass delivers rapid-fire stand-up that bounces from his heart attack to his coming out to how to eat a Kit Kat.,"
Duncan Carey, 
Jeff Garlin, 
Todd Glass, 
Eric Kalver
","
Scott Moran",350,62,Not specified
Los Tiempos de Pablo Escobar,2012,"
Documentary            ",6.8,"A complete journalistic document that brings never before seen shocking images and testimonials from people who show how the barbaric acts of Pablo Escobar managed to subdue a nation, and how his legacy continues to affect the world today.","
Alessandro Angulo
",Not specified,268,46,Not specified
Tim Minchin So F**king Rock,2008,"
Comedy, Music            ",8.1,"Performing material from his ""So Rock"" and ""Dark Side"" albums, ranging from sharply critical, to lighthearted, to sweet, Minchin shows off his skills as a musician, comedian and social critic in this hilarious two hour live show.","
Tim Minchin
","
Matt Askem",253,127,Not specified
Un om la locul lui,2018,"
Drama            ",5.4,"Petru, a drilling engineer living in a community of oil industry workers, has a conflict. On the one hand he is about to get married to his pregnant girlfriend, Laura, and on the other he ...                
","
Valeriu Andriuta, 
Madalina Constantin, 
Bogdan Dumitrache, 
Ada Gales
","
Hadrian Marcu",120,93,Not specified
Alt Love Building,2014,"
Comedy            ",5.9,Not specified,"
Dorian Boguta, 
Dragos Bucur, 
Elisa Calin, 
Emil Ciuchi
","
Iulia Rugina",221,115,Not specified
Mighty Little Bheem,2021,"
Animation, Comedy, Family            ",8.5,Not specified,"
Aranya Kaur, 
Nishka Raheja, 
Samriddhi Shukla
",Not specified,12,Not specified,Not specified
Voltron 84,2017,"
Animation, Action, Sci-Fi            ",8.2,Not specified,"
Jeffrey Michael Adams, 
Steve Ahn, 
Christine Bian, 
Kimberly Brooks
",Not specified,58,Not specified,Not specified
My Own Man,2014,"
Documentary, Comedy, Drama            ",6.4,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.","
David Sampliner
",Not specified,410,82,Not specified
Supercrooks,Not specified,"
Action, Adventure, Drama            ",Not specified,"A gang of super-villains, con-artists, petty thieves and leg-breakers band together for the heist of the century and the most outrageous crime story you've ever seen in your life.",Not specified,Not specified,Not specified,Not specified,Not specified
Go Go Cory Carson,2020,"
Animation, Short, Family            ",6.7,Not specified,"
Nathaniel Andalis, 
Paden Andrews, 
Ella Joy Ballesteros, 
Bob Barnes
","
Stanley Moore, 
Alex Woo",39,42,Not specified
Shelldon,2008,"
Animation, Family            ",5.8,The adventures of a shellfish named Shelldon and his friends Herman and Connie.,"
Jason Kesser, 
Samuel Sadovnik, 
Lee Tockar, 
Michael Daingerfield
",Not specified,36,22,Not specified
Guru Aur Bhole,2017,"
Animation            ",4.4,Not specified,Not specified,Not specified,16,Not specified,Not specified
Mighty Little Bheem,2020,"
Animation            ",6.9,"From surprising stage performances to spraying colors with friends, join baby Bheem for all his Holi hijinks during the special spring festival.",Not specified,Not specified,34,Not specified,Not specified
Untitled Spenser Confidential Sequel,Not specified,"
Action, Comedy, Crime            ",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
Mis Peores Amigos,2013,"
Action, Comedy, Drama            ",3.8,"Roberto, Condoro and Papitas are three childhood best friends separated by time and brought back together by the dying wish of Papitas, the developmentally disabled wheelchair bound heir to...                
","
Ariel Levy, 
Nicols Martnez, 
Ignacia Allamand, 
Javier Aller
","
Nicols Lpez",265,88,Not specified
Arashi's Diary,2019,"
Documentary, Music            ",7.5,"Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.","
Arashi
",Not specified,40,Not specified,Not specified
La limita de jos a cerului,2013,"
Drama            ",6.9,"The Unsaved is a drama about about a Sancho Panza and not a Don Quijote. It's about the every day's non-hero facing circumstances and not adventures, it's about Viorel, a 25-year-old ...                
","
Igor Babiac, 
Sergiu Voloc, 
Ela Ionescu, 
Igor Caras-Romanov
","
Igor Cobileanski",434,80,Not specified
Sitara,2019,"
Drama            ",Not specified,Not specified,"
Raima Sen, 
Nassar, 
Subrat Dutta, 
Shahed Ali
","
Ashish Ray",Not specified,128,Not specified
Mighty Little Bheem,2019,"
Animation            ",7.5,"From decorating his home to devouring sweets, Bheem makes merry -- and a bit of mischief -- with the festival of lights in full swing.",Not specified,Not specified,34,Not specified,Not specified
Facing Darkness,2017,"
Documentary, Drama            ",7.3,"A Christian relief organization is met with the challenge of fighting the Ebola epidemic in west Africa, through this enormous challenge their faith grew.","
Franklin Graham, 
Kent Brantly, 
Amber Brantly, 
Writebol Nancy
","
Arthur Rasco",88,93,$0.56M
Khan,2018,"
Mystery            ",5.6,"Inspector Khan is a witty, smart, and well-experienced crime hunter, who specializes in solving scams involving people who have chosen the criminal life as a solution to their problems.","
Rajesh Sharma, 
Surbhi Sehgal, 
Sonam Arora, 
Pitobash
",Not specified,47,43,Not specified
Fresh Cut Grass,2002,Not specified,7.6,"This is the summer of love, confusion, and the smell of fresh cut grass,"" says drifting protagonist Zac Peace (David Wike), an accomplished recent graduate. Zac arrives at his Long Island ...                
","
David Wike, 
P.J. Heslin, 
Darrell Larson, 
Katy Hansz
","
Matthew Coppola",54,101,Not specified
Light in the Dark,2020,"
Thriller            ",6,"In the face of unspeakable pain, a couple must find a way to live and love again","
Bimbo Ademoye, 
Saidi Balogun, 
Rita Dominic, 
Kalu Ikeagwu
","
Ekene Som Mekwunye",25,105,Not specified
A Week in Watts,2018,"
Documentary            ",6.3,"A Week in Watts is a feature length documentary that tells the story of six students in Watts, Los Angeles, involved in a program called Operation Progress - which gives youth scholarships ...                
","
Emada Tingirides, 
John Coughlin, 
Erik Shear, 
Eric Ortiz
","
Gregory Caruso",187,91,Not specified
Answer for Heaven,2019,"
Drama            ",5.9,"The humans on Earth, aren't doing enough good actions. Tep is an angel, who descends from heaven to learn why. In Bangkok he finds Ad a journalist that helps him. Ad works for a news station and helps the police investigate various crimes.",Not specified,Not specified,9,Not specified,Not specified
Instfamous,2018,"
Reality-TV            ",3.9,Not specified,"
Andrea Espada, 
Jujimufu, 
Allie Kaplan, 
Lexie Kaplan
",Not specified,24,Not specified,Not specified
Leve Boerenliefde,2013,"
Comedy, Romance            ",4.7,"A farmer lost his wife and is anything but looking for a new romance. But when a popular TV dating show plans to film a new episode on his farm, he is lured into becoming a participant in the show to save his farm.","
Cas Jansen, 
Tatum Dagelet, 
Rense Westra, 
Thomas Dudkiewicz
","
Steven de Jong",409,97,Not specified
Den vita katten,1950,"
Drama, Mystery            ",6.4,"A man comes to Stockholm's central station. He does not know who he is or where he has been. He has some keys and a phone number. Perhaps he is the escaped sex maniac the police are ...                
","
Alf Kjellin, 
Eva Henning, 
Sture Lagerwall, 
Gertrud Fridh
","
Hasse Ekman",66,93,Not specified
Frankie Boyle,2016,"
Comedy            ",7.6,"This notoriously controversial comedian delivers devastating social commentary by way of one-liners about the economy, corruption and more.","
Frankie Boyle, 
Craig Campbell
","
John L. Spencer",582,87,Not specified
Crap Shoot,2007,"
Documentary            ",3.8,"When a scientist and his narrator visit L.A. to research Hollywood filmmaking, their engrossing documentary about movies becomes an outlandish movie about documentaries.","
Kenneth R. Close, 
James E. Horton, 
Joey Medina, 
Amaris Dupree
","
Kenneth R. Close",189,97,Not specified
Like Cotton Twines,2016,"
Drama            ",7.7,"An American volunteer teaching in a school in Africa must save one of his students, a 14 year old girl from religious slavery.","
Irene Adotey, 
Adjetey Anang, 
Miranda Bailey, 
David Dontoh
","
Leila Djansi",64,96,Not specified
Cocomong,2008,"
Animation            ",4.3,"A little sausage becomes a monkey, an egg becomes a rabbit, a radish becomes a hippo, a cucumber becomes a crocodile and a carrot becomes a donkey. These unique characters express the fun ...                
",Not specified,Not specified,8,Not specified,Not specified
Tum... Ho Na,2005,"
Romance            ",4.9,"Tall, attractive Anajli, in the company of two female friends in a convertible are stranded with a flat tire. Unable to change the tire, they wait for someone to help them. It is then they ...                
","
Sumit Nijhawan, 
Nethra Raghuraman, 
Jackie Shroff, 
Riya Sen
","
N.S. Raj Bharath",40,Not specified,Not specified
Suryaganga,2019,"
Documentary, Adventure, News            ",7.8,"A panoptic film on water, energy and climate, SunGanges (SuryaGanga) is a wild and intense ride three filmmakers take across the vast Indian landscape in an attempt to connect the dots ...                
","
Naseeruddin Shah, 
Himanshu Thakkar, 
Parineeta Dandekar, 
Shripad Dharmadhikary
","
Valli Bindana",76,75,Not specified
We Couldn't Become Adults,2022,"
Drama, Romance            ",Not specified,"A friend request with a lost love sends a man back into his memories of the 90s, when life seemed to burn a little brighter.","
Mirai Moriyama
",Not specified,Not specified,Not specified,Not specified
Pit Sawat,2016,"
Drama, Fantasy, History            ",8.2,"In ancient Thailand a war breaks out between the Thais and the Burmese. When defeat became imminent for the Thais, a warrior kills his wife and curses her soul to be the protector of all ...                
","
Woranuch BhiromBhakdi, 
Nawat Kulrattanarak, 
Phutharit Prombandal
",Not specified,33,Not specified,Not specified
Holocaust Escape Tunnel,2017,"
Documentary, History            ",6.7,Documentary about holocaust in Lithuania and the story of Lithuanian holocaust survivors of an escape tunnel they dug.,"
Jay O. Sanders, 
Timothy Snyder, 
Richard Freund, 
Jon Seligman
","
Paula Apsell, 
Kirk Wolfinger",190,Not specified,Not specified
Hari Kondabolu,2018,"
Comedy            ",6.4,"Hari riffs on celebrity encounters, identity politics, and why firefighters are better than cops.","
Hari Kondabolu
","
Bobcat Goldthwait",780,67,Not specified
Tiempo muerto,2016,"
Drama            ",6,Franco loses his investigative journalist girlfriend Julia in a traffic accident and he'll do anything to get her back...,"
Luis Luque, 
Guillermo Pfening, 
Mara Nela Sinisterra
","
Victor Postiglione",183,103,Not specified
Rdio Coisa Mais Linda,2020,Not specified,Not specified,Not specified,"
Maria Casadevall, 
Pathy Dejesus, 
Mel Lisboa, 
Larissa Nunes
",Not specified,Not specified,Not specified,Not specified
Felix Lobrecht,2020,"
Comedy            ",6,Not specified,"
Felix Lobrecht
","
Jan-Peter Horns",200,59,Not specified
Danil Arends,2016,"
Documentary, Comedy            ",7.4,"Danil Arends talks about themes such as identity, hypocrisy and fantasy. Arends defeats myths and creates them just as easily. Carte Blanche is perhaps his strongest show so far because the confusion is as big as the wonder.","
Danil Arends
","
Joeri Tijdink, 
Doesjka van Hoogdalem",185,82,Not specified
Russell Brand,2014,"
Documentary            ",7.2,Russell Brand sets out to find out how other countries are tackling their problems of drug abuse and to explore how the framework of criminalization implicit in the 'war on drugs' produces enormous harm in the treatment of addicts.,"
Russell Brand, 
Nick Clegg, 
David Cameron, 
Joo Goulo
","
Ross Wilson",321,60,Not specified
Word Party Songs,2020,"
Animation, Family            ",3.2,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove.",Not specified,Not specified,14,Not specified,Not specified
Free Food for Millionaires,Not specified,"
Drama            ",Not specified,"Casey Han, a strong-willed, Queens-bred daughter of Korean immigrants who is addicted to a glamorous Manhattan lifestyle she cannot afford.",Not specified,Not specified,Not specified,Not specified,Not specified
Baires,2015,"
Action, Crime, Thriller            ",4.2,An ordinary man's romantic trip to Argentina turns to horror when vicious drug dealers hold his girlfriend hostage and force him to do a job for them.,"
Germn Palacios, 
Benjamn Vicua, 
Sabrina Garciarena, 
Carlos Belloso
","
Marcelo Pez Cubells",197,82,Not specified
Louder Than a Bomb,2010,"
Documentary            ",7.5,"By turns hopeful and heartbreaking, Louder Than a Bomb follows the fortunes of four Chicago-area high school poetry teams as they prepare for and compete in the world's largest youth slam.","
Kevin Coval, 
Adam Gottlieb, 
Elizabeth Graf, 
Kevin Harris
","
Greg Jacobs, 
Jon Siskel",373,99,$0.04M
Growing Up Coy,2016,"
Documentary            ",5.7,A Colorado family is thrust into the international media spotlight when they fight for the rights of their 6-year-old transgender daughter in a landmark civil rights case.,"
Auri Mathis, 
Coy Mathis, 
Dakota Mathis, 
Jeremy Mathis
","
Eric Juhola",373,83,Not specified
The Honeymoon StandUp Special,2018,"
Comedy            ",6.9,"Husband-and-wife comics Moshe Kasher and Natasha Leggero share their terror and reluctance on becoming new parents; she wonders why men are needed at this point; he recalls a story from his...                
","
Moshe Kasher, 
Natasha Leggero
",Not specified,484,31,Not specified
Capital C,2014,"
Documentary, News            ",6.8,"CAPITAL C is the first documentary about crowdfunding. It follows the hopes and dreams as well as the fears and pitfalls of a whole new generation of independent creators, who reach out to the crowd in order to change their lives forever.","
Zach Crain, 
Brian Fargo, 
Jackson Robinson
","
Timon Birkhofer, 
Jrg M. Kundinger",266,87,Not specified
Birders,2019,"
Documentary, Short            ",6.4,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful bird species.,"
Esteban Berrones, 
Chris Birchfield, 
Mark Conway, 
Juana Dapa
","
Otilia Portillo Padua",230,37,Not specified
Onder het hart,2014,"
Comedy, Drama            ",6.1,"Masha is in an overwhelming relationship with Luuk, father of two and divorced. Nothing seems to stand in their way until Luuk becomes incurably ill.","
Frank Lammers, 
Hanna Obbeek, 
Kim van Kooten, 
Kay Greidanus
","
Nicole van Kilsdonk",303,99,Not specified
Dear Nathan,2017,"
Drama, Romance            ",7.1,"When Nathan (Jefri Nichol) seriously starts to change for Salma (Amanda Rawles), Nathan's past love comes to ask for Nathan's love back.","
Amanda Rawles, 
Jefri Nichol, 
Surya Saputra, 
Rayn Wijaya
","
Indra Gunawan",440,99,Not specified
Tami,2015,"
Comedy            ",6.1,"One day, the current prime minister of Japan, Muto Taizan, and his useless son, Sho, suddenly discover that they have switched bodies. With no known cause or solution at hand, Sho ...                
","
Ken'ichi End, 
Masaki Suda, 
Yuika Motokariya, 
Ji-young Kang
",Not specified,197,54,Not specified
Nerdcore Rising,2008,"
Documentary, Music            ",6.7,"Hilariously entertaining, NERDCORE RISING introduces a new wave of hip-hop to the world called ""Nerdcore"" where computer obsesses geeks bust rhymes about the hard knock life of nerdom. The ...                
","
Damian Hess, 
Gaby Alter, 
Beefy, 
Jello Biafra
","
Negin Farsad, 
Kimmy Gatewood",412,85,Not specified
Ella Brennan,2016,"
Documentary            ",8.6,"Today, the world knows restaurateur Ella Brennan as the matriarch of a Creole-flavored dining dynasty dating back over half a century. She has become a household name in the restaurant ...                
","
Meg Bickford, 
Marcelle Bienvenu, 
Daniel Boulud, 
Gene Bourg
","
Leslie Iwerks",62,96,Not specified
Filthy Gorgeous,2013,"
Documentary, Biography            ",6.5,"A look at the extraordinary world of Penthouse founder, visionary and provocateur Bob Guccione.","
Patrice Adcroft, 
Audrey Arnold, 
Peter Bloch, 
Joe Brooks
","
Barry Avrich",353,96,Not specified
Oh Baby,2017,"
Comedy            ",5.6,"A happy-go-lucky songwriter has his life turned upside down when, after the sudden death of a fling, he finds himself in care of the eight-month-old son he didn't know he had.","
Manoushka Zeegelaar Breeveld, 
Tony Clark, 
Tony Clark, 
Tina de Bruin
","
Thomas Acda",173,96,Not specified
Vidal Sassoon,2010,"
Documentary            ",6.5,"Vidal Sassoon is more than just a hairdresser-he's a rock star, an artist, a craftsman who ""changed the world with a pair of scissors."" With the geometric, Bauhaus-inspired hairdos he ...                
","
Beverly Adams, 
Elgin Charles, 
Grace Coddington, 
Michael Gordon
","
Craig Teper",245,90,$0.09M
Untitled Charlize Theron/Netflix Project,Not specified,"
Drama, Sport            ",Not specified,The battle of four women to compete in big wave surfing.,"
Niki Caro
",Not specified,Not specified,Not specified,Not specified
The Inexplicable Universe,2012,"
Documentary            ",8.4,Everything we now know about the universe-from the behaviour of quarks to the birth of entire galaxies-has stemmed from scientists who've been willing to ponder the unanswerable.,"
Neil deGrasse Tyson
",Not specified,277,Not specified,Not specified
Never Stop Dreaming,2018,"
Documentary            ",Not specified,"A look back on the life of Nobel Peace Prize winner, Shimon Peres, who served as prime minister of Israel twice and negotiated the 1994 Israel-Jordan peace treaty.","
George W. Bush, 
George Clooney, 
Barack Obama, 
Shimon Peres
","
Richard Trank",Not specified,129,Not specified
"Devil's Backbone, Texas",2015,"
Horror            ",4.1,"In January, 1996 Unsolved Mysteries featured a story on landowner Bert Wall's 'real-life' interactions with the spirits that roamed the Devil's Backbone. Nearly twenty years later, Wall ...                
","
Avery Atchley, 
Savannah Atchley, 
Marilyn Baxter, 
Michaela Beach
","
Jake Wade Wall",581,80,Not specified
Tokyo kaiki zake,2021,"
Horror            ",5,Not specified,"
Ysuke Sugino, 
Borsalino Seki, 
Amane Okayama, 
Suzuyuki Kaneko
",Not specified,6,Not specified,Not specified
Running Mates,2011,"
Comedy            ",5.3,Two best friends run against each other for mayor of their home town.,"
DJ Qualls, 
Graham Greene, 
Henry Winkler, 
Linda Kash
","
Thomas Michael",108,90,Not specified
Ricardo Quevedo,2019,"
Comedy            ",7.3,Not specified,"
Ricardo Quevedo
",Not specified,90,58,Not specified
Transformers,Not specified,"
Animation, Action, Adventure            ",Not specified,"BotBots are Transformers robots that disguise themselves as everyday mall objects. By day, these BotBots hide quietly on store shelves but at night, they jump into adventure until a group ...                
",Not specified,Not specified,Not specified,Not specified,Not specified
David A. Arnold Fat Ballerina,2020,"
Comedy            ",7.4,Not specified,"
David A. Arnold
","
Milton Horowitz",59,60,Not specified
Fight Church,2014,"
Documentary, Sport            ",6,Fight Church follows several cage fighting pastors as they beat the holy hell out of each other... because Jesus never tapped out.,"
Paul Burress, 
John Renken, 
Nahshon Nicks, 
Preston Hocker
","
Daniel Junge, 
Bryan Storkel",116,84,Not specified
Ralphie May,2015,"
Comedy            ",4.8,"Filmed in front of a raucous crowd, comedian Ralphie May unleashes his hilariously raunchy perspective in his first Netflix original stand-up special.","
Ralphie May
","
John Asher",380,83,Not specified
Heaven's Forest,Not specified,"
Animation, Action, Drama            ",Not specified,"An Indo-futuristic world, with storyline and characters inspired by the Indian mythology of the Ramayana.",Not specified,Not specified,Not specified,Not specified,Not specified
Super Monsters Monster Pets,2019,"
Animation            ",6.1,Not specified,"
Sabrina Pitre
",Not specified,29,Not specified,Not specified
Dead of Winter,Not specified,"
Drama            ",Not specified,An Asian American family's weekend in the mountains becomes a fight for survival when they're confronted by a dangerous fugitive on the run.,"
Mike Gan
",Not specified,Not specified,Not specified,Not specified
Single Tokyo Man,2019,"
Drama            ",5.5,"Three Japanese men in their thirties and forties are professionals working in law, dentistry and banking. The friends are trusting of one another and enjoy each others' fellowship. Aside ...                
","
Mayu Miyamoto, 
Lisa Nait, 
Riisa Naka, 
Seiji Nozoe
",Not specified,111,Not specified,Not specified
Untitled Nipsey Hussle Documentary,Not specified,"
Documentary            ",Not specified,"The late, great Nipsey Hussle.","
Ava DuVernay
",Not specified,Not specified,Not specified,Not specified
American Factory,2019,"
Documentary, Short            ",5.2,Barack and Michelle Obama talk with the directors of the documentary American Factory about the importance of storytelling and the impact of their film.,"
Steven Bognar, 
Barack Obama, 
Michelle Obama, 
Julia Reichert
",Not specified,261,10,Not specified
Zum zum zum  La canzone che mi passa per la testa,1969,"
Comedy, Family, Musical            ",5.2,"The sons of a music-loving insurance broker take extreme measures to find happiness for themselves and others, with some help from the power of music.","
Dolores Palumbo, 
Little Tony, 
Walter Brugiolo, 
Enzo Cannavale
","
Bruno Corbucci, 
Sergio Corbucci",47,102,Not specified
Moving Art,2014,"
Documentary, Short            ",8.4,"Celebrated filmmaker Louie Schwartzberg takes viewers on an enchanting journey, unveiling the mysteries and wonders of the natural world as elegant flowers come to life through his stunning time-lapse cinematography.","
Louie Schwartzberg
",Not specified,203,25,Not specified
Men at Lunch,2012,"
Documentary, Mystery            ",6.3,"The story of ""Lunch atop a Skyscraper,"" the iconic photograph taken during the construction of 30 Rockefeller Plaza.","
Fionnula Flanagan, 
Peter Quinn, 
Ric Burns, 
Christine Roussel
","
Sen  Cualin",331,75,$0.00M
La legge del numero uno,2017,"
Drama            ",6.9,"While waiting for a chance at furlough, three inmates compete against each other to secure a meeting with the judge first.","
Marco Palvetti, 
Andrea Sartoretti, 
Pietro Bontempo, 
Francesca Della Ragione
","
Alessandro D'Alatri",10,Not specified,Not specified
A Final Cut for Orson,2018,"
Documentary, Short            ",7.2,A glimpse behind the scenes into the complicated process of recovering and completing the final film of legendary director Orson Welles.,"
Frank Marshall, 
Peter Bogdanovich, 
Filip Jan Rymsza, 
Ruth Hasty
","
Ryan Suffern",218,38,Not specified
Je parle toute seule,2016,"
Comedy            ",7.8,"Blanche Gardin presents her new stand-up comedy,  Je Parle Toute Seule , that will get her the award ""Molire for best comedy show"". A hilarious and uninhibited show.","
Blanche Gardin
",Not specified,109,88,Not specified
Wahid Saeiday,2014,"
Comedy            ",3.1,"Faleh) youth levels graduated from the Faculty of Law, brokered by his father to help him in the search for a job, to be appointed in a tourist resorts as an individual security, during ...                
","
Mohamad Ramadan, 
Randa Al Behery, 
Ahmed El-Tuhami, 
Mayar El Gheity
","
Ismail Farouk",227,85,Not specified
The Residence,Not specified,"
Drama            ",Not specified,Inside the White House's staff residence and the lives workers share with the First Family.,Not specified,Not specified,Not specified,Not specified,Not specified
Jim Norton,2017,"
Comedy            ",6.8,"In this unrestricted jaunt, comic Jim Norton offers a personal perspective on romance, desire, and sexual proclivities.","
Jim Norton, 
Louis C.K., 
Robert De Niro, 
Ricky Gervais
","
Shannon Hartman",1263,61,Not specified
Vir Das,2020,"
Comedy            ",6.9,Stage banter takes on a different - deeper - meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.,"
Vir Das
","
Vir Das",199,50,Not specified
Uncoupled,Not specified,"
Comedy, Thriller            ",Not specified,"The script penned by Fox, is a comedic thriller about a married couple, on the eve of their divorce, who are wrongly accused of murder - and instead of splitting up, go on the run together,...                
",Not specified,Not specified,Not specified,Not specified,Not specified
Mexico Disea,2016,"
Game-Show, Reality-TV            ",5.6,Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.,"
Renato Lopez, 
Emilio Aguado, 
Claudia Cndano, 
Manuel Daz
",Not specified,6,25,Not specified
Pico & Sepulveda,Not specified,"
Drama            ",Not specified,American forces threaten brutality and war in the 1840's Mexican state of California.,Not specified,Not specified,Not specified,Not specified,Not specified
CoComelon Lane,2022,"
Animation, Comedy, Family            ",Not specified,The adventures of JJ and his friends as they experience life as little kids.,Not specified,Not specified,Not specified,7,Not specified
Queen of Carthage,2014,"
Drama, Thriller            ",5.6,An American Drifter discovers a New Zealand Singer and develops an obsession for him.,"
Shiloh Fernandez, 
Keisha Castle-Hughes, 
Graham Candy, 
Amanda Tito
","
Mardana M. Mayginnes",222,92,Not specified
The Chameleon,Not specified,"
Drama            ",Not specified,A young man pretends to be a long-lost son to a family whose real son went missing years ago.,Not specified,Not specified,Not specified,Not specified,Not specified
Tunga,Not specified,"
Animation, Action, Adventure            ",Not specified,"Tunga, a young African girl and her animal totem Zuze must venture to a mythical city to learn the magic of summoning rain to save her village from drought.","
Rosendo Ruz
",Not specified,Not specified,Not specified,Not specified
Tony Hinchcliffe,2016,"
Comedy            ",6,"This groundbreaking comedy special is presented in one continuous shot of witty stand-up from the Ice House in Pasadena, California.","
Tony Hinchcliffe
","
Ben Wolfinsohn",163,57,Not specified
Droppin' Cash,2018,"
Reality-TV            ",3.5,Ball out with your favorite artists and athletes in LA as they drop crazy cash on the stuff we all dream about.,"
Alfredo Flores, 
Xion Michelle, 
Toni Romiti, 
Brynda Rowen
",Not specified,110,Not specified,Not specified
Home for Christmas,Not specified,"
Drama            ",Not specified,Not specified,"
Dennis Storhi, 
Ida Elise Broch, 
Anette Hoff, 
Gabrielle Leithaug
",Not specified,Not specified,Not specified,Not specified
Kaptn Oskar,2013,"
Drama, Romance            ",5.2,"The turbulent relationship between Oskar and Alex ends in a big blaze, Alex has set in Oskar's apartment. So Oskar decides that everything shall be different with the next one and he makes ...                
","
Amelie Kiefer, 
Tom Lass, 
Martina Schne-Radunski, 
Gunnar Teuber
","
Tom Lass",250,78,Not specified
Idol,Not specified,"
Drama            ",Not specified,A young woman begins working as an assistant to a pop singer and slowly starts to emulate her.,Not specified,Not specified,Not specified,Not specified,Not specified
Rucker50,2016,"
Documentary            ",5.2,Not specified,"
Inez Dickens
","
Robert McCullough Jr.",105,56,Not specified
"Alexis Viera, una historia de superacin",2019,"
Documentary            ",7.2,"Alexis Viera, una historia de superacin is a film that highlights the struggle, sacrifice, will and forgiveness as the engine of life, told from the testimony of a sports athlete who is an example of life.","
Luis Ara
",Not specified,42,68,Not specified
The City of Brass,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
Popples,2015-2016,"
Animation            ",6,"Popples is an animated high-energy children's comedy series about an amazing species of creatures that can pop into and out of a ball. The story is driven by the optimistic comedic ...                
","
Erin Fitzgerald, 
Cassandra Lee Morris, 
Grant George, 
Cindy Robinson
",Not specified,52,Not specified,Not specified
